"","plot.id","easting","northing","scam","ivfr","c4","phau","spcy","tyla","dead","bare_water","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1123",1,365375.931,4304068.981,5,0,0,0,0,1,0,0,248,380,331,449,0.151282051282051,0.513937282229965,-0.083232810615199,0.226487523992322
"1124",4,365436.058,4304008.928,6,0,0,0,0,1,2,0,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1125",4,365436.058,4304008.928,0,4,0,4,0,0,0,0,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1126",5,365435.93,4304029.066,0,5,0,0,5,0,2,0,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1127",5,365435.93,4304029.066,0,0,0,0,0,0,0,0,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1128",6,365436.097,4304048.939,0,0,0,0,0,0,0,0,183,331,273,1940,0.75327609579756,1.89045134951236,-0.70849845882871,1.12914879205238
"1129",6,365436.097,4304048.939,2,4,0,0,0,0,0,0,183,331,273,1940,0.75327609579756,1.89045134951236,-0.70849845882871,1.12914879205238
"1130",8,365455.989,4304009.022,1,5,0,4,3,0,0,2,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1131",9,365455.966,4304028.954,0,0,0,0,0,0,0,0,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1132",9,365455.966,4304028.954,1,5,0,4,3,0,0,2,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1133",9,365455.966,4304028.954,1,3,0,0,4,0,2,5,193,373,311,2044,0.73588110403397,1.76010562665042,-0.691352916839057,1.1031190324634
"1134",10,365455.973,4304049.018,2,4,0,0,0,0,0,0,183,331,273,1940,0.75327609579756,1.89045134951236,-0.70849845882871,1.12914879205238
"1135",10,365455.973,4304049.018,1,4,0,0,3,0,0,4,183,331,273,1940,0.75327609579756,1.89045134951236,-0.70849845882871,1.12914879205238
