"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",4,365671.937,4303961.435,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"2",4,365671.937,4303961.435,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"3",5,365672.2157,4303960.269,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"4",5,365672.2157,4303960.269,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"5",6,365671.2172,4303960.091,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"6",6,365671.2172,4303960.091,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"7",7,365670.982,4303961.041,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"8",7,365670.982,4303961.041,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"9",9,365671.9276,4303961.414,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"10",9,365671.9276,4303961.414,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"11",10,365672.09,4303960.205,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"12",10,365672.09,4303960.205,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"13",11,365671.349,4303960.002,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"14",11,365671.349,4303960.002,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"15",12,365670.8875,4303961.096,3,4,0,4,5,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"16",12,365670.8875,4303961.096,3,3,0,5,4,317,508,440,2294,0.678127286027798,1.81373508119742,-0.637401855817273,1.01663315664412
"17",14,365662.4043,4304176.912,4,4,0,0,1,290,519,389,2293,0.709917971662938,1.94206446348429,-0.630867709815078,1.0642817216322
"18",15,365661.5503,4304176.755,4,4,0,0,1,290,519,389,2293,0.709917971662938,1.94206446348429,-0.630867709815078,1.0642817216322
"19",19,365662.4442,4304156.412,4,4,0,0,1,289,537,365,2940,0.779122541603631,2.17372952895492,-0.691113028472821,1.16815363677605
"20",20,365662.2901,4304157.286,4,4,0,0,1,289,537,365,2940,0.779122541603631,2.17372952895492,-0.691113028472821,1.16815363677605
"21",23,365662.7492,4304143.794,4,1,0,0,6,317,718,496,3431,0.747389865036924,1.82139754250962,-0.653892504217884,1.12065673921344
