"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",4,365671.937,4303961.435,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"2",4,365671.937,4303961.435,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"3",5,365672.2157,4303960.269,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"4",5,365672.2157,4303960.269,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"5",6,365671.2172,4303960.091,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"6",6,365671.2172,4303960.091,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"7",7,365670.982,4303961.041,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"8",7,365670.982,4303961.041,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"9",9,365671.9276,4303961.414,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"10",9,365671.9276,4303961.414,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"11",10,365672.09,4303960.205,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"12",10,365672.09,4303960.205,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"13",11,365671.349,4303960.002,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"14",11,365671.349,4303960.002,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"15",12,365670.8875,4303961.096,0,5,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"16",12,365670.8875,4303961.096,3,3,0,5,5,239,466,357,2269,0.728103579588728,1.8261700095511,-0.659232175502742,1.09153187440533
"17",14,365662.4043,4304176.912,4,0,0,0,0,344,579,480,2045,0.61980198019802,1.66915529010239,-0.558689024390244,0.929150999406293
"18",15,365661.5503,4304176.755,4,0,0,0,0,344,579,480,2045,0.61980198019802,1.66915529010239,-0.558689024390244,0.929150999406293
"19",19,365662.4442,4304156.412,4,0,0,0,0,241,471,355,2480,0.749559082892416,1.89630555059789,-0.680786174178245,1.12374405076679
"20",20,365662.2901,4304157.286,4,0,0,0,0,241,471,355,2480,0.749559082892416,1.89630555059789,-0.680786174178245,1.12374405076679
"21",23,365662.7492,4304143.794,2,0,0,0,6,255,596,425,2965,0.749262536873156,1.76315424128835,-0.665262566694749,1.1233967271119
