"","plot.id","easting","northing","scam","ivfr","c4","phau","spcy","tyla","dead","bare_water","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",1,365375.931,4304068.981,5,0,0,0,0,1,0,0,244,445,347,1283,0.574233128834356,1.52542372881356,-0.484953703703704,0.860557768924303
"2",4,365436.058,4304008.928,6,0,0,0,0,1,2,0,236,448,239,3222,0.861889627275354,2.58492201039861,-0.755858310626703,1.29227436823105
"3",4,365436.058,4304008.928,0,4,0,4,0,0,0,0,236,448,239,3222,0.861889627275354,2.58492201039861,-0.755858310626703,1.29227436823105
"4",5,365435.93,4304029.066,0,5,0,0,5,0,2,0,236,448,242,3222,0.860277136258661,2.56631071305546,-0.755858310626703,1.28985716346847
"5",5,365435.93,4304029.066,0,0,0,0,0,0,0,0,236,448,242,3222,0.860277136258661,2.56631071305546,-0.755858310626703,1.28985716346847
"6",6,365436.097,4304048.939,0,0,0,0,0,0,0,0,182,430,242,3269,0.86214753631444,2.25558867362146,-0.767504731008381,1.29266903914591
"7",6,365436.097,4304048.939,2,4,0,0,0,0,0,0,182,430,242,3269,0.86214753631444,2.25558867362146,-0.767504731008381,1.29266903914591
"8",8,365455.989,4304009.022,1,5,0,4,3,0,0,2,236,448,287,3222,0.836420632658877,2.31248030255279,-0.755858310626703,1.2540948582823
"9",9,365455.966,4304028.954,0,0,0,0,0,0,0,0,236,448,255,3222,0.853321829163072,2.48825897349883,-0.755858310626703,1.27943078913325
"10",9,365455.966,4304028.954,1,5,0,4,3,0,0,2,236,448,255,3222,0.853321829163072,2.48825897349883,-0.755858310626703,1.27943078913325
"11",9,365455.966,4304028.954,1,3,0,0,4,0,2,5,236,448,255,3222,0.853321829163072,2.48825897349883,-0.755858310626703,1.27943078913325
"12",10,365455.973,4304049.018,2,4,0,0,0,0,0,0,182,430,255,3269,0.85527809307605,2.1948732886688,-0.767504731008381,1.28237129485179
"13",10,365455.973,4304049.018,1,4,0,0,3,0,0,4,182,430,255,3269,0.85527809307605,2.1948732886688,-0.767504731008381,1.28237129485179
"14",11,365456.016,4304068.914,1,4,0,0,3,0,0,4,159,451,307,1767,0.703953712632594,1.5110743117367,-0.593327321911632,1.05516742953505
"15",11,365456.016,4304068.914,3,0,0,0,5,0,0,4,159,451,307,1767,0.703953712632594,1.5110743117367,-0.593327321911632,1.05516742953505
"16",12,365476.041,4304008.875,1,5,0,4,3,0,0,2,222,459,288,3027,0.826244343891403,2.21673680802849,-0.736660929432014,1.23880597014925
"17",12,365476.041,4304008.875,4,2,3,0,0,0,3,2,222,459,288,3027,0.826244343891403,2.21673680802849,-0.736660929432014,1.23880597014925
"18",12,365476.041,4304008.875,2,5,3,0,2,0,1,5,222,459,288,3027,0.826244343891403,2.21673680802849,-0.736660929432014,1.23880597014925
"19",13,365476.203,4304029.013,2,5,1,0,4,0,2,0,222,459,308,3027,0.815292353823088,2.11826114054222,-0.736660929432014,1.22238873070583
"20",14,365475.939,4304048.999,1,4,0,0,3,0,0,4,193,459,308,1868,0.716911764705882,1.7199558985667,-0.60550064460679,1.07462686567164
"21",14,365475.939,4304048.999,2,5,1,0,4,0,2,0,193,459,308,1868,0.716911764705882,1.7199558985667,-0.60550064460679,1.07462686567164
"22",14,365475.939,4304048.999,0,1,0,6,0,0,3,2,193,459,308,1868,0.716911764705882,1.7199558985667,-0.60550064460679,1.07462686567164
"23",15,365475.997,4304068.978,3,0,0,0,5,0,0,4,246,456,381,402,0.0268199233716475,0.0623515439429929,0.0629370629370629,0.0401529636711281
"24",15,365475.997,4304068.978,1,5,0,4,0,0,2,0,246,456,381,402,0.0268199233716475,0.0623515439429929,0.0629370629370629,0.0401529636711281
"25",16,365478.111,4304088.951,1,5,0,4,0,0,2,0,246,456,428,402,-0.0313253012048193,-0.0578291814946619,0.0629370629370629,-0.0469031870114251
"26",16,365478.111,4304088.951,2,3,0,0,4,0,0,4,246,456,428,402,-0.0313253012048193,-0.0578291814946619,0.0629370629370629,-0.0469031870114251
"27",17,365496.016,4304009.074,0,6,0,0,0,0,0,0,241,469,288,2743,0.80996370834708,2.30516431924883,-0.707970112079701,1.21434460016488
"28",18,365496.016,4304028.958,0,6,0,0,0,0,0,0,241,469,308,2743,0.798098983939692,2.18778077268643,-0.707970112079701,1.1965601965602
"29",18,365496.016,4304028.958,0,5,3,0,0,0,0,0,241,469,308,2743,0.798098983939692,2.18778077268643,-0.707970112079701,1.1965601965602
"30",19,365495.89,4304049.043,0,1,0,6,0,0,3,2,206,470,308,2938,0.81022797288971,2.02932098765432,-0.724178403755869,1.21478060046189
"31",19,365495.89,4304049.043,3,5,0,0,0,0,0,0,206,470,308,2938,0.81022797288971,2.02932098765432,-0.724178403755869,1.21478060046189
"32",20,365496.002,4304068.948,1,5,0,4,0,0,2,0,237,470,381,1889,0.66431718061674,1.57312747757146,-0.6015260703688,0.995817741580453
"33",20,365496.002,4304068.948,3,5,0,0,0,0,0,0,237,470,381,1889,0.66431718061674,1.57312747757146,-0.6015260703688,0.995817741580453
"34",20,365496.002,4304068.948,3,2,3,0,0,0,4,0,237,470,381,1889,0.66431718061674,1.57312747757146,-0.6015260703688,0.995817741580453
"35",21,365496.085,4304089.029,2,3,0,0,4,0,0,4,237,470,428,1889,0.630556754423824,1.36363636363636,-0.6015260703688,0.945223204658184
"36",21,365496.085,4304089.029,3,2,3,0,0,0,4,0,237,470,428,1889,0.630556754423824,1.36363636363636,-0.6015260703688,0.945223204658184
"37",21,365496.085,4304089.029,0,3,4,0,0,0,0,0,237,470,428,1889,0.630556754423824,1.36363636363636,-0.6015260703688,0.945223204658184
"38",22,365498.319,4304108.88,0,3,4,0,0,0,0,0,270,531,428,663,0.215398716773602,0.487551867219917,-0.110552763819095,0.322654462242563
"39",23,365516.40375,4303988.55125,0,5,4,0,0,0,0,0,240,445,321,2553,0.776617954070981,2.08364451082898,-0.703135423615744,1.16431924882629
"40",23,365516.40375,4303988.55125,3,0,4,0,0,0,3,0,240,445,321,2553,0.776617954070981,2.08364451082898,-0.703135423615744,1.16431924882629
"41",23,365516.40375,4303988.55125,4,0,4,0,0,0,3,2,240,445,321,2553,0.776617954070981,2.08364451082898,-0.703135423615744,1.16431924882629
"42",24,365516.7155,4304008.61775,4,0,4,0,0,0,3,2,241,469,321,2743,0.790469973890339,2.11676280370565,-0.707970112079701,1.1851247757299
"43",24,365516.7155,4304008.61775,3,0,3,0,0,0,4,0,241,469,321,2743,0.790469973890339,2.11676280370565,-0.707970112079701,1.1851247757299
"44",26,365515.505,4304048.736,3,5,0,0,0,0,0,0,206,470,297,2938,0.816383307573416,2.0801827347196,-0.724178403755869,1.22400741541789
"45",26,365515.505,4304048.736,2,4,2,0,0,0,4,0,206,470,297,2938,0.816383307573416,2.0801827347196,-0.724178403755869,1.22400741541789
"46",27,365515.542,4304070.027,3,2,3,0,0,0,4,0,237,470,337,1889,0.697214734950584,1.81946072684642,-0.6015260703688,1.04511784511785
"47",27,365515.542,4304070.027,0,2,4,0,0,0,4,0,237,470,337,1889,0.697214734950584,1.81946072684642,-0.6015260703688,1.04511784511785
"48",28,365516.31675,4304089.335,0,3,4,0,0,0,3,0,270,531,387,663,0.262857142857143,0.719499478623566,-0.110552763819095,0.393723252496434
"49",29,365516.03175,4304109.48075,0,0,0,5,0,0,2,0,270,531,387,663,0.262857142857143,0.719499478623566,-0.110552763819095,0.393723252496434
"50",30,365535.055,4303948.271,3,0,2,0,0,0,5,0,272,553,343,3394,0.816430291677816,2.23614775725594,-0.719787180136813,1.22415407248897
"51",30,365535.055,4303948.271,3,0,4,0,0,0,4,0,272,553,343,3394,0.816430291677816,2.23614775725594,-0.719787180136813,1.22415407248897
"52",32,365536.309,4303989.341,4,0,4,0,0,0,3,2,284,473,389,2713,0.749194068343005,1.99245541838134,-0.703075957313245,1.12324794586757
"53",32,365536.309,4303989.341,4,0,4,0,0,0,4,0,284,473,389,2713,0.749194068343005,1.99245541838134,-0.703075957313245,1.12324794586757
"54",33,365536.658,4304009.147,3,0,4,0,0,0,4,0,275,518,408,2862,0.75045871559633,1.8897273987371,-0.693491124260355,1.1251719394773
"55",34,365536.5378,4304029.0484,3,0,4,0,0,0,4,0,275,518,319,2862,0.799434140207482,2.34377880184332,-0.693491124260355,1.19858601728201
"56",35,365535.747,4304069.018,0,2,4,0,0,0,4,0,262,561,420,3043,0.757435749350274,1.82304698359744,-0.688679245283019,1.1356617116467
"57",35,365535.747,4304069.018,0,5,0,5,0,0,2,0,262,561,420,3043,0.757435749350274,1.82304698359744,-0.688679245283019,1.1356617116467
"58",36,365536.004,4304089.144,0,4,0,4,0,0,2,0,295,531,402,2220,0.693363844393593,1.87926400661567,-0.613958560523446,1.03945111492281
"59",37,365535.849,4304109.311,0,0,0,5,0,0,2,0,295,531,402,2220,0.693363844393593,1.87926400661567,-0.613958560523446,1.03945111492281
"60",37,365535.849,4304109.311,0,0,0,6,0,0,1,0,295,531,402,2220,0.693363844393593,1.87926400661567,-0.613958560523446,1.03945111492281
"61",38,365536.306,4304128.04,0,0,0,6,0,0,1,0,306,504,407,685,0.254578754578755,0.836341756919374,-0.152228763666947,0.381344307270233
"62",39,365555.966,4303869.041,4,0,1,0,0,0,2,2,256,480,229,3747,0.884808853118712,2.7484375,-0.772888573456352,1.3267127592709
"63",40,365555.916,4303889.089,4,0,1,0,0,0,2,2,242,481,229,3941,0.890167865707434,2.65218633895399,-0.782451379466305,1.33477166486875
"64",41,365555.776,4303948.999,2,0,3,0,0,0,4,0,323,553,343,3108,0.801217038539554,2.52051048313582,-0.697896749521989,1.20130340333092
"65",42,365556.175,4304008.864,2,0,4,0,0,0,4,0,275,569,408,2862,0.75045871559633,1.8897273987371,-0.668318274555523,1.1251719394773
"66",42,365556.175,4304008.864,2,0,4,0,0,0,4,0,275,569,408,2862,0.75045871559633,1.8897273987371,-0.668318274555523,1.1251719394773
"67",43,365555.848,4304029.036,3,0,4,0,0,0,4,0,285,557,319,2885,0.800873907615481,2.41120090208607,-0.676350958744916,1.20074871314927
"68",43,365555.848,4304029.036,2,0,4,0,0,0,4,0,285,557,319,2885,0.800873907615481,2.41120090208607,-0.676350958744916,1.20074871314927
"69",43,365555.848,4304029.036,2,5,4,0,0,0,1,0,285,557,319,2885,0.800873907615481,2.41120090208607,-0.676350958744916,1.20074871314927
"70",44,365557.225,4304048.593,2,5,4,0,0,0,1,0,285,557,319,2885,0.800873907615481,2.41120090208607,-0.676350958744916,1.20074871314927
"71",44,365557.225,4304048.593,0,4,0,4,0,0,0,5,285,557,319,2885,0.800873907615481,2.41120090208607,-0.676350958744916,1.20074871314927
"72",45,365556.431,4304068.797,0,4,0,4,0,0,0,5,286,561,420,2875,0.745068285280728,1.88904278239458,-0.673457508731083,1.11709388745639
"73",45,365556.431,4304068.797,0,1,0,5,0,0,5,0,286,561,420,2875,0.745068285280728,1.88904278239458,-0.673457508731083,1.11709388745639
"74",46,365555.149,4304088.725,0,4,0,4,0,0,2,0,322,531,402,3183,0.775732217573222,2.18700849323687,-0.7140549273021,1.16311166875784
"75",46,365555.149,4304088.725,0,1,0,5,0,0,5,0,322,531,402,3183,0.775732217573222,2.18700849323687,-0.7140549273021,1.16311166875784
"76",46,365555.149,4304088.725,0,0,0,6,0,0,3,0,322,531,402,3183,0.775732217573222,2.18700849323687,-0.7140549273021,1.16311166875784
"77",47,365555.711,4304109.139,0,0,0,6,0,0,1,0,322,531,402,3183,0.775732217573222,2.18700849323687,-0.7140549273021,1.16311166875784
"78",47,365555.711,4304109.139,0,0,0,6,0,0,2,0,322,531,402,3183,0.775732217573222,2.18700849323687,-0.7140549273021,1.16311166875784
"79",48,365556.802,4304129.265,0,5,2,3,0,0,2,0,335,525,407,2514,0.721328312221842,2.15660184237462,-0.654491609081935,1.0814371257485
"80",49,365579.312,4303828.03,3,0,0,1,0,2,2,3,270,462,247,2211,0.799023596419854,2.94541091781644,-0.654320987654321,1.19780443179508
"81",49,365579.312,4303828.03,4,0,1,0,0,0,0,5,270,462,247,2211,0.799023596419854,2.94541091781644,-0.654320987654321,1.19780443179508
"82",50,365575.218,4303848.926,5,0,1,0,0,0,2,3,226,462,335,4121,0.849640933572711,2.13416009019166,-0.798385337115427,1.27403252944476
"83",50,365575.218,4303848.926,4,0,1,0,0,0,0,5,226,462,335,4121,0.849640933572711,2.13416009019166,-0.798385337115427,1.27403252944476
"84",50,365575.218,4303848.926,3,0,0,0,0,0,2,5,226,462,335,4121,0.849640933572711,2.13416009019166,-0.798385337115427,1.27403252944476
"85",51,365575.691,4303868.805,4,0,1,0,0,0,2,2,256,480,335,3747,0.835864772170505,2.22367049009385,-0.772888573456352,1.25333659850618
"86",51,365575.691,4303868.805,3,0,0,0,0,0,2,5,256,480,335,3747,0.835864772170505,2.22367049009385,-0.772888573456352,1.25333659850618
"87",51,365575.691,4303868.805,3,0,1,0,0,0,0,5,256,480,335,3747,0.835864772170505,2.22367049009385,-0.772888573456352,1.25333659850618
"88",52,365576.176,4303889.19,4,0,2,0,0,0,4,3,323,481,274,2488,0.801593048515568,3.2396839332748,-0.675985180195352,1.20173692780894
"89",54,365576.257,4303948.916,4,0,2,0,0,0,5,2,323,553,489,3108,0.728106755629691,1.80945143015061,-0.697896749521989,1.0917048770321
