"","plot.id","easting","northing","scam","ivfr","c4","phau","spcy","tyla","dead","bare_water","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",1,365375.931,4304068.981,5,0,0,0,0,1,0,0,340,503,506,1034,0.342857142857143,0.86899275839368,-0.345478204294079,0.513785274083685
"2",4,365436.058,4304008.928,6,0,0,0,0,1,2,0,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"3",4,365436.058,4304008.928,0,4,0,4,0,0,0,0,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"4",5,365435.93,4304029.066,0,5,0,0,5,0,2,0,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"5",5,365435.93,4304029.066,0,0,0,0,0,0,0,0,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"6",6,365436.097,4304048.939,0,0,0,0,0,0,0,0,180,429,242,3199,0.859343214181924,2.24015151515152,-0.763506063947078,1.28845315904139
"7",6,365436.097,4304048.939,2,4,0,0,0,0,0,0,180,429,242,3199,0.859343214181924,2.24015151515152,-0.763506063947078,1.28845315904139
"8",8,365455.989,4304009.022,1,5,0,4,3,0,0,2,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"9",9,365455.966,4304028.954,0,0,0,0,0,0,0,0,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"10",9,365455.966,4304028.954,1,5,0,4,3,0,0,2,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"11",9,365455.966,4304028.954,1,3,0,0,4,0,2,5,194,434,252,3293,0.857827926657264,2.27008062108092,-0.767104910115374,1.28619765966446
"12",10,365455.973,4304049.018,2,4,0,0,0,0,0,0,180,429,242,3199,0.859343214181924,2.24015151515152,-0.763506063947078,1.28845315904139
"13",10,365455.973,4304049.018,1,4,0,0,3,0,0,4,180,429,242,3199,0.859343214181924,2.24015151515152,-0.763506063947078,1.28845315904139
"14",11,365456.016,4304068.914,1,4,0,0,3,0,0,4,271,496,421,1581,0.579420579420579,1.3986013986014,-0.522388059701492,0.868480159720489
"15",11,365456.016,4304068.914,3,0,0,0,5,0,0,4,271,496,421,1581,0.579420579420579,1.3986013986014,-0.522388059701492,0.868480159720489
"16",12,365476.041,4304008.875,1,5,0,4,3,0,0,2,167,465,251,2910,0.841189496994622,2.10197628458498,-0.724444444444444,1.26118577075099
"17",12,365476.041,4304008.875,4,2,3,0,0,0,3,2,167,465,251,2910,0.841189496994622,2.10197628458498,-0.724444444444444,1.26118577075099
"18",12,365476.041,4304008.875,2,5,3,0,2,0,1,5,167,465,251,2910,0.841189496994622,2.10197628458498,-0.724444444444444,1.26118577075099
"19",13,365476.203,4304029.013,2,5,1,0,4,0,2,0,167,465,251,2910,0.841189496994622,2.10197628458498,-0.724444444444444,1.26118577075099
"20",14,365475.939,4304048.999,1,4,0,0,3,0,0,4,261,515,426,1705,0.600187705302675,1.38870792616721,-0.536036036036036,0.899648300117233
"21",14,365475.939,4304048.999,2,5,1,0,4,0,2,0,261,515,426,1705,0.600187705302675,1.38870792616721,-0.536036036036036,0.899648300117233
"22",14,365475.939,4304048.999,0,1,0,6,0,0,3,2,261,515,426,1705,0.600187705302675,1.38870792616721,-0.536036036036036,0.899648300117233
"23",15,365475.997,4304068.978,3,0,0,0,5,0,0,4,542,755,746,644,-0.0733812949640288,-0.241935483870968,0.0793423874195854,-0.1099532878189
"24",15,365475.997,4304068.978,1,5,0,4,0,0,2,0,542,755,746,644,-0.0733812949640288,-0.241935483870968,0.0793423874195854,-0.1099532878189
"25",16,365478.111,4304088.951,1,5,0,4,0,0,2,0,542,755,746,644,-0.0733812949640288,-0.241935483870968,0.0793423874195854,-0.1099532878189
"26",16,365478.111,4304088.951,2,3,0,0,4,0,0,4,542,755,746,644,-0.0733812949640288,-0.241935483870968,0.0793423874195854,-0.1099532878189
